payoff,replication,estimate,std_error,z_score,covered_95
otm_digital_k130,87,0.11690609627113772,0.0031232553218568022,0.07491483331097154,1
atm_call,88,10.335722374021353,0.14465989361864642,-0.79400859001732293,1
otm_digital_k130,88,0.12023539925689021,0.0031610898578555294,1.1272318402218116,1
atm_call,89,10.279975288291315,0.14514615454076241,-1.1754240712338173,1
otm_digital_k130,89,0.11871343217768911,0.0031438943185636385,0.64929474452198244,1
atm_call,90,10.51400681592356,0.14813283503106978,0.4281511504502496,1
otm_digital_k130,90,0.11405240799763559,0.0030901715779683447,-0.84775555517858037,1
atm_call,91,10.300610108417482,0.14652012726328517,-1.023569024742778,1
otm_digital_k130,91,0.11576462096173687,0.003110095480889002,-0.29179077078268523,1
atm_call,92,10.345787620068789,0.14691076713267059,-0.71333064391477596,1
otm_digital_k130,92,0.11490851447968627,0.0031001613570789447,-0.56887478956536175,1
atm_call,93,10.580951434908656,0.14674367264000776,0.88840534230681345,1
otm_digital_k130,93,0.11414753094008567,0.0030912843185856537,-0.81667906250131383,1
atm_call,94,10.70626575221357,0.14916212707571502,1.7141226465497807,1
otm_digital_k130,94,0.11776220275318838,0.003133061634101248,0.3479295210826161,1
atm_call,95,10.43317145243731,0.14613857791693072,-0.11914800319281547,1
otm_digital_k130,95,0.11652560450133745,0.003118879520187729,-0.046976363475223257,1
atm_call,96,10.371877118550492,0.14514612112839131,-0.54225667915326337,1
otm_digital_k130,96,0.1203305221993403,0.0031621590418350054,1.1569323464211683,1
atm_call,97,10.40203486503415,0.14654464384329274,-0.33128953660917337,1
otm_digital_k130,97,0.11890367806258922,0.003146052927824129,0.70932053416513785,1
atm_call,98,10.412855789540041,0.14674613081561338,-0.2570955870237871,1
otm_digital_k130,98,0.11509876036458636,0.0031023737309945976,-0.5071464275912545,1
atm_call,99,10.606781640293052,0.14837263260513894,1.0527417716122112,1
otm_digital_k130,99,0.11890367806258922,0.0031460529278241295,0.70932053416513774,1
atm_call,100,10.504250513364383,0.14657464743998147,0.36614068064402233,1
otm_digital_k130,100,0.11585974390418695,0.0031111958600981066,-0.26111317051593519,1
atm_call,101,10.425151049761535,0.14723934859568166,-0.17272911532536761,1
otm_digital_k130,101,0.113291424458035,0.0030812446138001152,-1.0971844449275285,1
atm_call,102,10.540306270315961,0.14772917903325217,0.60734581155571765,1
otm_digital_k130,102,0.11624023567398721,0.0031155905860550748,-0.13861976835436884,1
atm_call,103,10.309779891706027,0.14591124016078141,-0.96499543369222329,1
otm_digital_k130,103,0.12042564514179038,0.0031632275783485529,1.1866130177193239,1
atm_call,104,10.298303632780859,0.14451016931631974,-1.05376625136577,1
otm_digital_k130,104,0.11424265388253571,0.0030923963661742878,-0.78562511046508643,1
atm_call,105,10.590104448228455,0.14826313617797335,0.94103551050900291,1
otm_digital_k130,105,0.11880855512013917,0.0031449739522628264,0.67931786820961648,1
atm_call,106,10.512290750378128,0.14850281166349377,0.41552868596458165,1
otm_digital_k130,106,0.11681097332868763,0.0031221623811511588,0.044474051129658791,1
atm_call,107,10.488947440550321,0.14782109341713184,0.25952905284303945,1
otm_digital_k130,107,0.11937929277483957,0.003151437957207633,0.85902838395875347,1
atm_call,108,9.9630578985115203,0.1417244329200181,-3.43995501431404,0
otm_digital_k130,108,0.11833294040788879,0.0031395691888026255,0.52899687463456724,1
atm_call,109,10.350576779812515,0.14512341872438772,-0.6891154663532556,1
otm_digital_k130,109,0.12080613691159064,0.0031674952628426302,1.3051381136296956,1
atm_call,110,10.213433253931438,0.14391815750349296,-1.6478137461449702,1
otm_digital_k130,110,0.1090108920477818,0.0030301844092302664,-2.5283035739324964,0
atm_call,111,10.508487470746209,0.14931846147088984,0.38778793988543026,1
otm_digital_k130,111,0.11833294040788882,0.0031395691888026246,0.52899687463457623,1
atm_call,112,10.232120404240501,0.1450716554907005,-1.5058983590288857,1
otm_digital_k130,112,0.11785732569563843,0.003134147886707061,0.37815942934667107,1
atm_call,113,10.440442514598674,0.14703924854290243,-0.068968371964425845,1
otm_digital_k130,113,0.12128175162384099,0.0031728153788089498,1.4528527361898345,1
atm_call,114,10.328738036313387,0.14228358452288917,-0.85635694574845189,1
otm_digital_k130,114,0.11985490748708995,0.0031568066341148798,1.0082307016784182,1
atm_call,115,10.482445944654568,0.14702325058215693,0.21671655566622722,1
otm_digital_k130,115,0.11643048155888736,0.0031177838845551473,-0.077502665153566019,1
atm_call,116,10.651412935052575,0.14807156922064268,1.3562992809765297,1
otm_digital_k130,116,0.11119871972413346,0.0030564633298667938,-1.7907620031607887,1
atm_call,117,10.620225062715877,0.15057791036462198,1.1266027674281169,1
otm_digital_k130,117,0.11766707981073833,0.0031319747158219864,0.31767871126123909,1
atm_call,118,10.587648798341817,0.14897681515440842,0.92004400828547905,1
otm_digital_k130,118,0.11490851447968622,0.0031001613570789434,-0.56887478956537552,1
atm_call,119,10.846062581978053,0.15269819076789157,2.5899390674094458,0
otm_digital_k130,119,0.11081822795433315,0.0030519206046951499,-1.9181004105985926,1
atm_call,120,10.306364666977974,0.14625962553452132,-0.98604727504609402,1
otm_digital_k130,120,0.11557437507683674,0.0031078926801593252,-0.35321137357297788,1
atm_call,121,10.400301050329215,0.14772545038388207,-0.34037819296316313,1
otm_digital_k130,121,0.11814269452298866,0.0031374026573959008,0.46872415314904009,1
atm_call,122,10.381831582120915,0.14635613328359956,-0.46975817495404981,1
otm_digital_k130,122,0.12375494812754285,0.0032002234661138982,2.2132298207382606,0
atm_call,123,10.668727628519258,0.15081131098267297,1.4464701282171804,1
