problem,method,n,greek,value,reference,relative_error
american_put_k100,bbs,200,theta,-2.2259920885981721,-2.2378429761738516,-0.0052956743175706089
american_put_k100,bbs,201,delta,-0.41123654102689633,-0.41106013309990369,0.00042915357824235834
american_put_k100,bbs,201,gamma,0.022938323626325342,0.022988343273841864,-0.0021758700451214308
american_put_k100,bbs,201,theta,-2.2259532037354393,-2.2378429761738516,-0.0053130503636769078
american_put_k100,bbs,500,delta,-0.41113212373513014,-0.41106013309990369,0.00017513407268077152
american_put_k100,bbs,500,gamma,0.022969097045688076,0.022988343273841864,-0.00083721684179338673
american_put_k100,bbs,500,theta,-2.2332299153555724,-2.2378429761738516,-0.0020613871783651261
american_put_k100,bbs,501,delta,-0.41113205817996062,-0.41106013309990369,0.00017497459438486906
american_put_k100,bbs,501,gamma,0.022969163825766706,0.022988343273841864,-0.00083431188784199861
american_put_k100,bbs,501,theta,-2.2332444875804507,-2.2378429761738516,-0.0020548754503156852
american_put_k100,bbs,1000,delta,-0.41109512753378508,-0.41106013309990369,8.5132152362943359e-05
american_put_k100,bbs,1000,gamma,0.022978544668659451,0.022988343273841864,-0.00042624233794019695
american_put_k100,bbs,1000,theta,-2.2355076406537222,-2.2378429761738516,-0.0010435654087411761
american_put_k100,bbs,1001,delta,-0.41109520394426602,-0.41106013309990369,8.5318038745008096e-05
american_put_k100,bbs,1001,gamma,0.022978591385833733,0.022988343273841864,-0.00042421012649607182
american_put_k100,bbs,1001,theta,-2.2355172134857964,-2.2378429761738516,-0.0010392877037475046
american_put_k100,bbs,2000,delta,-0.41107706508057268,-0.41106013309990369,4.1191006632690375e-05
american_put_k100,bbs,2000,gamma,0.022983577668705277,0.022988343273841864,-0.0002073052885899207
american_put_k100,bbs,2000,theta,-2.2367074185272173,-2.2378429761738516,-0.00050743401513175801
american_put_k100,bbs,2001,delta,-0.41107711484739173,-0.41106013309990369,4.131207607027676e-05
american_put_k100,bbs,2001,gamma,0.022983596324570033,0.022988343273841864,-0.00020649375273740223
american_put_k100,bbs,2001,theta,-2.2367111535804947,-2.2378429761738516,-0.00050576497341747739
american_put_k100,bbs,5000,delta,-0.41106619076977302,-0.41106013309990369,1.4736700014283954e-05
american_put_k100,bbs,5000,gamma,0.022986599080203514,0.022988343273841864,-7.5872959507061744e-05
american_put_k100,bbs,5000,theta,-2.2374282589665562,-2.2378429761738516,-0.00018532006566629455
american_put_k100,bbs,5001,delta,-0.41106624152115895,-0.41106013309990369,1.4860164641028462e-05
american_put_k100,bbs,5001,gamma,0.022986614417780417,0.022988343273841864,-7.5205770196373756e-05
american_put_k100,bbs,5001,theta,-2.2374312595548167,-2.2378429761738516,-0.00018397922616486539
