payoff,greek,method,paths,best_h,bias,sd,rmse,exact
digital,delta,fd_independent,262144,0.031622776601683791,-7.8254031780567584e-05,0.00018930985181696652,0.00020484607266158631,0.018762017345846895
digital,delta,fd_crn,256,0.10000000000000001,-0.00083937798162752111,0.0016994830517155282,0.0018954677626141301,0.018762017345846895
digital,delta,fd_crn,512,0.10000000000000001,-0.00064778514099932821,0.0011683681328183942,0.0013359302686461823,0.018762017345846895
digital,delta,fd_crn,1024,0.10000000000000001,-0.00056795479073757857,0.00091597693742269891,0.0010777691748292087,0.018762017345846895
digital,delta,fd_crn,2048,0.10000000000000001,-0.00056722906028066136,0.00063981608816985399,0.00085505171393773403,0.018762017345846895
digital,delta,fd_crn,4096,0.056234132519034911,-0.00020517691340659477,0.00057976913387802916,0.00061500391412798124,0.018762017345846895
digital,delta,fd_crn,8192,0.056234132519034911,-0.0002497009411497747,0.00033840118378865259,0.00042055430232093056,0.018762017345846895
digital,delta,fd_crn,16384,0.056234132519034911,-0.0002067901028175792,0.00030926557792740475,0.00037203137544308899,0.018762017345846895
digital,delta,fd_crn,32768,0.056234132519034911,-0.00018436677000489149,0.00019645605664763211,0.00026941805447217937,0.018762017345846895
digital,delta,fd_crn,65536,0.031622776601683791,-5.7940039184214281e-05,0.00018913773530303962,0.00019781337431081593,0.018762017345846895
digital,delta,fd_crn,131072,0.031622776601683791,-5.3278399223897349e-05,0.0001632928481122936,0.00017176478704462558,0.018762017345846895
digital,delta,fd_crn,262144,0.031622776601683791,-4.4690224066220446e-05,9.9929961744521192e-05,0.00010946786460578492,0.018762017345846895
digital,delta,pathwise,256,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,512,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,1024,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,2048,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
digital,delta,pathwise,4096,nan,-0.018762017345846895,0,0.018762017345846895,0.018762017345846895
